identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
9699,SUDESTE,40,metropolitano,feminino,parda,fundamental completa,não sabe,segunda série fundamental,2000,2000,4,2,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,discorda total,ns,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total
9702,SUDESTE,26,metropolitano,feminino,branca,médio completo,fundamental completa,médio completo,1800,,4,2,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,evangélica,concorda total,neutro,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,discorda parcial,concorda total,concorda parcial,discorda total,discorda parcial,discorda total,concorda total,discorda total,discorda parcial,discorda total,concorda total
9703,SUDESTE,50,metropolitano,masculino,branca,médio completo,não sabe,fundamental completa,1200,1200,4,2,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total
9706,SUDESTE,58,metropolitano,feminino,branca,sexta série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,680,680,1,2,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,evangélica,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,neutro,concorda parcial,concorda parcial,discorda total,concorda total,concorda parcial,neutro,discorda total,discorda total,discorda total,concorda total,concorda total,neutro,discorda total,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,concorda total
9707,NORDESTE,47,urbano,feminino,preta,cursou superior sem concluir,fundamental completa,médio completo,1800,3000,3,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda total,discorda parcial,discorda total,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda parcial,discorda total,discorda parcial,discorda parcial,discorda total,concorda total,discorda parcial,discorda total,discorda total,concorda parcial
9709,SUDESTE,40,urbano,masculino,branca,cursou superior sem concluir,médio completo,médio completo,1900,6600,5,2,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,católica,discorda total,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,neutro,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,ns,discorda total,concorda total,discorda total,discorda total,discorda total
9710,SUDESTE,60,metropolitano,masculino,parda,sétima série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,672,672,3,2,secundário,secundário,prioritário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,católica,discorda total,neutro,neutro,concorda total,concorda total,discorda total,concorda parcial,neutro,concorda parcial,concorda total,concorda parcial,neutro,concorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,neutro,discorda total,discorda total,neutro
9716,SUDESTE,54,metropolitano,feminino,branca,quarta série fundamental completa,não conheceu,quarta série fundamental completa,678,678,2,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,evangélica,concorda parcial,neutro,discorda parcial,discorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,discorda total,discorda total,concorda total,discorda total,concorda parcial,discorda total,concorda parcial
9717,SUDESTE,37,metropolitano,masculino,branca,médio completo,não sabe,médio completo,672,672,5,2,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,espírita,discorda total,discorda total,concorda total,discorda total,concorda total,discorda total,concorda parcial,discorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total
9718,SUDESTE,20,metropolitano,feminino,parda,segunda série médio,oitava série fundamental incompleta,oitava série fundamental incompleta,2000,2000,6,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,católica,neutro,discorda total,neutro,discorda total,concorda total,concorda total,neutro,neutro,ns,neutro,discorda parcial,neutro,neutro,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,discorda total,neutro,concorda total,ns,concorda parcial,discorda total,discorda total,concorda total
9719,NORDESTE,47,urbano,feminino,parda,médio completo,analfabeto ou sem instrução,analfabeto ou sem instrução,678,1900,3,2,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda parcial,concorda parcial,discorda total,discorda total,discorda total,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda parcial,discorda total,concorda total,concorda parcial,discorda total,concorda parcial,discorda parcial,discorda total,discorda total,discorda parcial,concorda total,concorda parcial,concorda total,discorda total,concorda parcial,concorda total
9720,SUDESTE,62,metropolitano,feminino,preta,quarta série fundamental completa,não sabe,analfabeto ou sem instrução,420,500,3,1,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,evangélica,concorda parcial,concorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,neutro,concorda parcial,discorda total,concorda total,concorda total,discorda parcial,discorda total,neutro
9721,SUDESTE,23,metropolitano,masculino,branca,fundamental completa,médio completo,médio completo,5000,5000,5,2,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,discorda total,discorda total,discorda total,concorda total,discorda total,concorda parcial,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,discorda total,concorda total,discorda total,concorda total
9722,SUDESTE,58,metropolitano,feminino,branca,médio completo,quarta série fundamental completa,quarta série fundamental completa,1500,1500,3,2,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,evangélica,discorda parcial,neutro,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,neutro,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda parcial,concorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,concorda total
9725,SUDESTE,29,metropolitano,feminino,parda,quinta série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,1000,1000,3,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,prioritário,católica,concorda parcial,neutro,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,concorda total,discorda total,concorda total,concorda total,discorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total
9727,SUDESTE,32,metropolitano,feminino,parda,médio completo,não conheceu,quarta série fundamental completa,700,800,2,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,concorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,discorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial
9728,SUDESTE,41,metropolitano,feminino,branca,médio completo,primeira série médio,primeira série médio,800,900,3,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,católica,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total,discorda total,concorda total,discorda total,discorda parcial,discorda parcial
9730,SUDESTE,39,metropolitano,feminino,parda,médio completo,analfabeto ou sem instrução,analfabeto ou sem instrução,500,500,3,1,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,prioritário,prioritário,evangélica,discorda parcial,discorda parcial,discorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,discorda parcial,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,discorda total,discorda parcial,discorda total,concorda total,concorda total
9733,NORDESTE,45,urbano,feminino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,330,330,6,1,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,evangélica,discorda total,discorda total,discorda total,concorda parcial,concorda parcial,ns,concorda total,concorda total,discorda total,concorda total,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,neutro,concorda parcial,concorda total,ns,discorda total,discorda total,ns
9737,NORDESTE,42,urbano,feminino,branca,primeira série fundamental,analfabeto ou sem instrução,quarta série fundamental completa,400,400,7,1,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,católica,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,discorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total
9739,NORDESTE,49,urbano,feminino,parda,quarta série fundamental completa,não sabe,não sabe,,,3,1,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,discorda total,ns,discorda total,concorda total,concorda total,concorda total,discorda parcial,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,discorda total
9741,SUDESTE,37,metropolitano,feminino,parda,médio completo,quarta série fundamental incompleta,quarta série fundamental incompleta,2000,3200,4,2,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,concorda parcial,discorda parcial,concorda total,discorda total,discorda parcial,concorda total,discorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,neutro,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,concorda total,discorda parcial
9742,SUDESTE,72,urbano,feminino,branca,fundamental completa,quarta série fundamental incompleta,segunda série fundamental,1200,1600,3,2,prioritário,secundário,prioritário,prioritário,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda parcial,neutro,discorda total,concorda parcial,concorda total,concorda total,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,discorda total,neutro
9749,SUDESTE,58,metropolitano,feminino,branca,médio completo,não conheceu,analfabeto ou sem instrução,2600,2600,4,2,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,prioritário,prioritário,católica,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial
9751,SUDESTE,18,metropolitano,feminino,preta,médio completo,não sabe,não sabe,1000,1000,4,2,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,católica,discorda parcial,neutro,discorda parcial,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,discorda parcial,neutro,neutro,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total
9753,SUDESTE,25,metropolitano,feminino,preta,sexta série fundamental,analfabeto ou sem instrução,terceira série fundamental,600,600,5,1,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,evangélica,discorda total,neutro,discorda parcial,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda parcial,concorda parcial,concorda total,discorda total,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total,discorda total,discorda total,discorda total,concorda parcial
9755,SUDESTE,60,metropolitano,masculino,preta,médio completo,não sabe,não sabe,1200,1200,2,2,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,evangélica,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total
9758,SUDESTE,37,metropolitano,feminino,parda,sexta série fundamental,não sabe,analfabeto ou sem instrução,800,800,3,1,prioritário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,católica,discorda parcial,neutro,discorda parcial,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial
9763,SUDESTE,37,metropolitano,feminino,branca,primeira série médio,sexta série fundamental,quarta série fundamental completa,,1500,4,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,católica,discorda parcial,discorda total,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total,discorda total,concorda total,discorda parcial,discorda total,discorda total,concorda total
9767,NORTE,26,urbano,feminino,parda,terceira série médio incompleto,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,4,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,evangélica,discorda total,ns,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda total,concorda parcial,discorda total,discorda total,concorda parcial
9768,NORDESTE,49,urbano,feminino,parda,oitava série fundamental incompleta,primeira série fundamental,analfabeto ou sem instrução,678,678,1,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda total,discorda parcial,discorda parcial,discorda total,discorda total,discorda total,concorda parcial,discorda total,discorda total,concorda parcial,concorda parcial,discorda total,discorda parcial,concorda parcial,concorda parcial,discorda total,neutro,concorda total,concorda total,discorda parcial,concorda total,discorda parcial,discorda total,discorda parcial,discorda total,discorda total
9769,NORDESTE,60,urbano,feminino,parda,terceira série fundamental,quarta série fundamental incompleta,quarta série fundamental incompleta,678,2000,4,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda parcial,discorda total,discorda total,discorda total,discorda parcial,discorda total,discorda parcial,neutro,discorda total,concorda total,discorda total,discorda parcial,concorda parcial,discorda total,discorda total,neutro,discorda parcial,concorda parcial,concorda total,discorda total,discorda parcial,discorda total,concorda parcial,discorda total,concorda total,concorda total
9770,SUDESTE,23,metropolitano,feminino,branca,cursou superior sem concluir,médio completo,médio completo,3000,3000,8,2,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,evangélica,discorda total,discorda total,concorda parcial,concorda total,discorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,concorda parcial,discorda total,discorda total,concorda total
9773,NORDESTE,41,urbano,feminino,parda,quarta série fundamental completa,primeira série fundamental,analfabeto ou sem instrução,,1500,3,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,discorda parcial,discorda parcial,discorda parcial,discorda total,concorda total,discorda total,discorda total,neutro,discorda parcial,discorda total,discorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda total,discorda parcial,discorda parcial,concorda total,discorda parcial,concorda parcial,discorda parcial,concorda parcial,discorda parcial,concorda parcial,concorda parcial
9776,SUDESTE,70,metropolitano,feminino,parda,médio completo,quinta série fundamental,sétima série fundamental,2500,2500,6,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,NR,discorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,concorda total,concorda parcial,discorda total,concorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda total,concorda parcial
9778,SUDESTE,53,metropolitano,feminino,preta,quinta série fundamental,quarta série fundamental incompleta,quarta série fundamental incompleta,700,700,2,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,evangélica,discorda total,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda total,discorda total,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total
9788,NORDESTE,36,urbano,masculino,branca,segunda série médio,superior completo,fundamental completa,2000,2000,4,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,concorda parcial,discorda parcial,discorda total,discorda total,discorda total,discorda parcial,neutro,discorda parcial,concorda parcial,neutro,discorda parcial,neutro,concorda parcial,concorda parcial,discorda parcial,discorda parcial,neutro,concorda total,discorda parcial,concorda parcial,discorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,discorda total
9799,NORDESTE,25,urbano,masculino,parda,médio completo,terceira série fundamental,terceira série fundamental,1500,1500,3,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda parcial,concorda parcial,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda total,discorda parcial,discorda total,discorda total,concorda parcial,concorda parcial,discorda total,concorda total,discorda parcial,neutro
9805,SUDESTE,18,urbano,feminino,branca,médio completo,médio completo,médio completo,2000,5800,5,2,prioritário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,católica,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,discorda total,discorda parcial,discorda total,concorda parcial,concorda total,discorda total,discorda total,discorda total
9808,SUDESTE,23,urbano,masculino,branca,cursou superior sem concluir,superior completo,médio completo,3000,6200,4,2,prioritário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,discorda total,concorda parcial,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,concorda total,ns,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda total
9812,NORDESTE,60,urbano,feminino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,600,600,3,2,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda total,discorda total,concorda parcial,concorda total,concorda parcial,discorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda total,discorda parcial,concorda parcial,concorda total
9815,NORDESTE,50,urbano,feminino,parda,quinta série fundamental,terceira série médio incompleto,analfabeto ou sem instrução,678,1500,5,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,discorda parcial,discorda total,discorda total,concorda total,discorda total,concorda parcial,concorda parcial,discorda parcial,concorda total,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total
9819,NORDESTE,59,urbano,feminino,branca,quarta série fundamental incompleta,analfabeto ou sem instrução,analfabeto ou sem instrução,678,1300,6,1,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,concorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total,concorda parcial,discorda total,discorda parcial,concorda parcial
9822,NORDESTE,50,urbano,masculino,parda,médio completo,analfabeto ou sem instrução,analfabeto ou sem instrução,400,1200,2,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,neutro,concorda parcial,discorda total,discorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda total,concorda total,discorda parcial,discorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,concorda parcial
9827,NORDESTE,23,urbano,masculino,parda,médio completo,quinta série fundamental,médio completo,1000,2300,4,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,sem,discorda total,concorda parcial,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,discorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,discorda total,discorda total,concorda total,discorda total,concorda total,concorda total,discorda total,concorda total,concorda total
