identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
8711,SUDESTE,17,urbano,feminino,branca,terceira série médio incompleto,sétima série fundamental,fundamental completa,1600,4400,4,1,prioritário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,católica,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,ns,discorda total,concorda total,discorda total,discorda total,discorda total
8714,SUDESTE,36,metropolitano,masculino,preta,fundamental completa,quinta série fundamental,quarta série fundamental completa,678,678,4,2,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,evangélica,discorda total,concorda total,concorda parcial,concorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,neutro,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,discorda total,discorda total,concorda parcial,concorda total
8717,SUDESTE,20,metropolitano,feminino,parda,médio completo,segunda série médio,médio completo,678,1000,3,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,católica,neutro,concorda parcial,concorda total,discorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,neutro,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda total,neutro,concorda total,concorda total,neutro,discorda total,neutro,concorda total,neutro,discorda total,discorda total,neutro,concorda total
8720,SUDESTE,28,metropolitano,feminino,parda,segunda série médio,não sabe,não sabe,1600,1600,3,2,prioritário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,católica,neutro,discorda total,discorda total,concorda parcial,neutro,concorda total,concorda total,concorda total,neutro,concorda total,concorda parcial,concorda total,neutro,discorda total,discorda total,neutro,concorda total,concorda total,concorda parcial,discorda total,neutro,discorda total,discorda parcial,concorda parcial,discorda total,neutro,concorda total
8723,SUDESTE,58,metropolitano,feminino,parda,quinta série fundamental,segunda série fundamental,analfabeto ou sem instrução,678,1200,4,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,evangélica,neutro,discorda total,discorda total,concorda parcial,neutro,concorda total,concorda total,concorda total,neutro,concorda total,neutro,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,neutro,neutro,neutro,neutro,discorda total,concorda parcial,discorda total,neutro,concorda total
8726,SUDESTE,77,metropolitano,feminino,parda,primeira série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,700,1200,3,2,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,evangélica,neutro,discorda parcial,concorda parcial,concorda parcial,neutro,concorda total,concorda total,concorda total,neutro,concorda total,neutro,concorda total,neutro,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,neutro,neutro,discorda total,concorda parcial,discorda total,neutro,concorda total
8730,SUDESTE,50,metropolitano,feminino,parda,quarta série fundamental completa,não sabe,analfabeto ou sem instrução,1200,1200,2,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,evangélica,neutro,concorda parcial,concorda total,concorda parcial,neutro,concorda total,concorda total,concorda total,neutro,concorda parcial,neutro,concorda total,neutro,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,neutro,concorda parcial,discorda total,discorda parcial,discorda total,neutro,concorda total
8731,NORDESTE,46,urbano,masculino,parda,médio completo,oitava série fundamental incompleta,oitava série fundamental incompleta,2000,2800,4,1,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,concorda total,concorda parcial,discorda parcial,concorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda total,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda parcial,discorda parcial,discorda total,concorda total,concorda parcial
8736,NORDESTE,32,urbano,feminino,branca,médio completo,não sabe,sétima série fundamental,678,1000,2,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,concorda total,concorda parcial
8739,NORDESTE,51,urbano,feminino,parda,quarta série fundamental completa,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,1,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,neutro,concorda total,concorda total,concorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,neutro,concorda total,concorda parcial,concorda total,concorda total,concorda total
